Year,Región,Value
2010,Asturias,-24.73
2011,Asturias,-18.34
2012,Asturias,-12.97
2013,Asturias,-17.25
2014,Asturias,-15.73
2015,Asturias,3.26
2016,Asturias,-17.64
2017,Asturias,-11.41
2018,Asturias,-18.62
2019,Asturias,-35.63
2020,Asturias,-46.23
2021,Asturias,-31.3
2022,Asturias,-31.28
2010,España,21.9
2011,España,22.02
2012,España,20.16
2013,España,9.84
2014,España,9.67
2015,España,13.27
2016,España,8.47
2017,España,13.41
2018,España,10.83
2019,España,3.71
2020,España,-11.45
2021,España,-4.84
2022,España,-2.55
