Year,Región,Value
2010,Asturias,16.427884139747
2011,Asturias,17.3797820693889
2012,Asturias,17.1184344666752
2013,Asturias,17.2437641828228
2014,Asturias,16.5049729960194
2015,Asturias,16.8708690939796
2016,Asturias,15.7296009597604
2017,Asturias,16.7776542117531
2018,Asturias,16.7776542117531
2019,Asturias,16.9403708959434
2020,Asturias,18.8987498283928
2010,España,19.36
2011,España,19.43
2012,España,19.65
2013,España,19.95
2014,España,19.06
2015,España,18.98
2016,España,18.69
2017,España,19.17
2018,España,19.88
2019,España,20.12
2020,España,20.7
