Year,Region,Value
2010,Asturias,31.59
2011,Asturias,38.23
2012,Asturias,30.82
2013,Asturias,27.75
2014,Asturias,27.7
2015,Asturias,28.06
2016,Asturias,27.77
2017,Asturias,25.44
2018,Asturias,31.26
2019,Asturias,28.55
2020,Asturias,34.2
2021,Asturias,31.27
2022,Asturias,33.35
2010,España,21.04
2011,España,21.39
2012,España,21.36
2013,España,20.16
2014,España,20.73
2015,España,21.95
2016,España,20.05
2017,España,21.01
2018,España,21.24
2019,España,20.48
2020,España,23.86
2021,España,22.7
2022,España,23.15
