Year,Region,Value
2010,Asturias,0.94
2011,Asturias,0.86
2012,Asturias,0.87
2013,Asturias,0.82
2014,Asturias,0.91
2015,Asturias,0.98
2016,Asturias,0.9
2017,Asturias,0.84
2018,Asturias,0.85
2019,Asturias,0.81
2020,Asturias,0.74
2021,Asturias,0.75
2022,Asturias,0.73
2023,Asturias,0.65
2010,España,0.36
2011,España,0.34
2012,España,0.32
2013,España,0.24
2014,España,0.23
2015,España,0.28
2016,España,0.22
2017,España,0.23
2018,España,0.24
2019,España,0.27
2020,España,0.27
2021,España,0.25
2022,España,0.22
